Name,Type,Category,Power,Acc,PP,Effect
Absorb,Grass,special,20,100,25,User recovers half the HP inflicted on opponent.
Acid,Poison,special,40,100,30,May lower opponent's Special Defense.
Acid Armor,Poison,status,0,0,20,Sharply raises user's Defense.
Aerial Ace,Flying,physical,60,0,20,Ignores Accuracy and Evasiveness.
Aeroblast,Flying,special,100,95,5,High critical hit ratio.
Agility,Psychic,status,0,0,30,Sharply raises user's Speed.
Air Cutter,Flying,special,60,95,25,High critical hit ratio.
Amnesia,Psychic,status,0,0,20,Sharply raises user's Special Defense.
Ancient Power,Rock,special,60,100,5,May raise all user's stats at once.
Arm Thrust,Fighting,physical,15,100,20,Hits 2-5 times in one turn.
Aromatherapy,Grass,status,0,0,5,Cures all status problems in your party.
Assist,Normal,status,0,0,20,User performs a move known by its allies at random.
Astonish,Ghost,physical,30,100,15,May cause flinching.
Attract,Normal,status,0,100,15,"If opponent is the opposite gender, it's less likely to attack."
Aurora Beam,Ice,special,65,100,20,May lower opponent's Attack.
Barrage,Normal,physical,15,85,20,Hits 2-5 times in one turn.
Barrier,Psychic,status,0,0,20,Sharply raises user's Defense.
Baton Pass,Normal,status,0,0,40,User switches out and gives stat changes to the incoming Pokémon.
Beat Up,Dark,physical,0,100,10,Each Pokémon in user's party attacks.
Belly Drum,Normal,status,0,0,10,"User loses 50% of its max HP, but Attack raises to maximum."
Bide,Normal,physical,0,0,10,User takes damage for two turns then strikes back double.
Bind,Normal,physical,15,85,20,"Traps opponent, damaging them for 4-5 turns."
Bite,Dark,physical,60,100,25,May cause flinching.
Blast Burn,Fire,special,150,90,5,User must recharge next turn.
Blaze Kick,Fire,physical,85,90,10,High critical hit ratio. May burn opponent.
Blizzard,Ice,special,110,70,5,May freeze opponent.
Block,Normal,status,0,0,5,Opponent cannot flee or switch.
Body Slam,Normal,physical,85,100,15,May paralyze opponent.
Bone Club,Ground,physical,65,85,20,May cause flinching.
Bone Rush,Ground,physical,25,90,10,Hits 2-5 times in one turn.
Bonemerang,Ground,physical,50,90,10,Hits twice in one turn.
Bounce,Flying,physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent."
Brick Break,Fighting,physical,75,100,15,Breaks through Reflect and Light Screen barriers.
Bubble,Water,special,40,100,30,May lower opponent's Speed.
Bubble Beam,Water,special,65,100,20,May lower opponent's Speed.
Bulk Up,Fighting,status,0,0,20,Raises user's Attack and Defense.
Bullet Seed,Grass,physical,25,100,30,Hits 2-5 times in one turn.
Calm Mind,Psychic,status,0,0,20,Raises user's Special Attack and Special Defense.
Camouflage,Normal,status,0,0,20,Changes user's type according to the location.
Charge,Electric,status,0,0,20,Raises user's Special Defense and next Electric move's power increases.
Charm,Fairy,status,0,100,20,Sharply lowers opponent's Attack.
Clamp,Water,physical,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Comet Punch,Normal,physical,18,85,15,Hits 2-5 times in one turn.
Confuse Ray,Ghost,status,0,100,10,Confuses opponent.
Confusion,Psychic,special,50,100,25,May confuse opponent.
Constrict,Normal,physical,10,100,35,May lower opponent's Speed by one stage.
Conversion,Normal,status,0,0,30,Changes user's type to that of its first move.
Conversion 2,Normal,status,0,0,30,User changes type to become resistant to opponent's last move.
Cosmic Power,Psychic,status,0,0,20,Raises user's Defense and Special Defense.
Cotton Spore,Grass,status,0,100,40,Sharply lowers opponent's Speed.
Counter,Fighting,physical,0,100,20,"When hit by a Physical Attack, user strikes back with 2x power."
Covet,Normal,physical,60,100,25,Opponent's item is stolen by the user.
Crabhammer,Water,physical,100,90,10,High critical hit ratio.
Cross Chop,Fighting,physical,100,80,5,High critical hit ratio.
Crunch,Dark,physical,80,100,15,May lower opponent's Defense.
Crush Claw,Normal,physical,75,95,10,May lower opponent's Defense.
Curse,Ghost,status,0,0,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Cut,Normal,physical,50,95,30,
Defense Curl,Normal,status,0,0,40,Raises user's Defense.
Destiny Bond,Ghost,status,0,0,5,"If the user faints, the opponent also faints."
Detect,Fighting,status,0,0,5,"Protects the user, but may fail if used consecutively."
Dig,Ground,physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves."
Disable,Normal,status,0,100,20,Opponent can't use its last attack for a few turns.
Dive,Water,physical,80,100,10,"Dives underwater on first turn, attacks on second turn."
Dizzy Punch,Normal,physical,70,100,10,May confuse opponent.
Doom Desire,Steel,special,140,100,5,Damage occurs 2 turns later.
Double Kick,Fighting,physical,30,100,30,Hits twice in one turn.
Double Slap,Normal,physical,15,85,10,Hits 2-5 times in one turn.
Double Team,Normal,status,0,0,15,Raises user's Evasiveness.
Double-Edge,Normal,physical,120,100,15,User receives recoil damage.
Dragon Breath,Dragon,special,60,100,20,May paralyze opponent.
Dragon Claw,Dragon,physical,80,100,15,
Dragon Dance,Dragon,status,0,0,20,Raises user's Attack and Speed.
Dragon Rage,Dragon,special,0,100,10,Always inflicts 40 HP.
Dream Eater,Psychic,special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.
Drill Peck,Flying,physical,80,100,20,
Dynamic Punch,Fighting,physical,100,50,5,Confuses opponent.
Earthquake,Ground,physical,100,100,10,Power is doubled if opponent is underground from using Dig.
Egg Bomb,Normal,physical,100,75,10,
Ember,Fire,special,40,100,25,May burn opponent.
Encore,Normal,status,0,100,5,Forces opponent to keep using its last move for 3 turns.
Endeavor,Normal,physical,0,100,5,Reduces opponent's HP to same as user's.
Endure,Normal,status,0,0,10,"Always left with at least 1 HP, but may fail if used consecutively."
Eruption,Fire,special,150,100,5,Stronger when the user's HP is higher.
Explosion,Normal,physical,250,100,5,User faints.
Extrasensory,Psychic,special,80,100,20,May cause flinching.
Extreme Speed,Normal,physical,80,100,5,User attacks first.
Facade,Normal,physical,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed."
Fake Out,Normal,physical,40,100,10,"User attacks first, foe flinches. Only usable on first turn."
Fake Tears,Dark,status,0,100,20,Sharply lowers opponent's Special Defense.
False Swipe,Normal,physical,40,100,40,Always leaves opponent with at least 1 HP.
Feather Dance,Flying,status,0,100,15,Sharply lowers opponent's Attack.
Feint Attack,Dark,physical,60,0,20,Ignores Accuracy and Evasiveness.
Fire Blast,Fire,special,110,85,5,May burn opponent.
Fire Punch,Fire,physical,75,100,15,May burn opponent.
Fire Spin,Fire,special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Fissure,Ground,physical,0,30,5,"One-Hit-KO, if it hits."
Flail,Normal,physical,0,100,15,"The lower the user's HP, the higher the power."
Flame Wheel,Fire,physical,60,100,25,May burn opponent.
Flamethrower,Fire,special,90,100,15,May burn opponent.
Flash,Normal,status,0,100,20,Lowers opponent's Accuracy.
Flatter,Dark,status,0,100,15,"Confuses opponent, but raises its Special Attack by two stages."
Fly,Flying,physical,90,95,15,"Flies up on first turn, attacks on second turn."
Focus Energy,Normal,status,0,0,30,Increases critical hit ratio.
Focus Punch,Fighting,physical,150,100,20,"If the user is hit before attacking, it flinches instead."
Follow Me,Normal,status,0,0,20,"In Double Battle, the user takes all the attacks."
Foresight,Normal,status,0,0,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Frenzy Plant,Grass,special,150,90,5,User must recharge next turn.
Frustration,Normal,physical,0,100,20,Power decreases with higher Friendship.
Fury Attack,Normal,physical,15,85,20,Hits 2-5 times in one turn.
Fury Cutter,Bug,physical,40,95,20,Power increases each turn.
Fury Swipes,Normal,physical,18,80,15,Hits 2-5 times in one turn.
Future Sight,Psychic,special,120,100,10,Damage occurs 2 turns later.
Giga Drain,Grass,special,75,100,10,User recovers half the HP inflicted on opponent.
Glare,Normal,status,0,100,30,Paralyzes opponent.
Grass Whistle,Grass,status,0,55,15,Puts opponent to sleep.
Growl,Normal,status,0,100,40,Lowers opponent's Attack.
Growth,Normal,status,0,0,20,Raises user's Attack and Special Attack.
Grudge,Ghost,status,0,0,5,"If the users faints after using this move, the PP for the opponent's last move is depleted."
Guillotine,Normal,physical,0,30,5,"One-Hit-KO, if it hits."
Gust,Flying,special,40,100,35,Hits Pokémon using Fly/Bounce with double power.
Hail,Ice,status,0,0,10,Non-Ice types are damaged for 5 turns.
Harden,Normal,status,0,0,30,Raises user's Defense.
Haze,Ice,status,0,0,30,Resets all stat changes.
Headbutt,Normal,physical,70,100,15,May cause flinching.
Heal Bell,Normal,status,0,0,5,Heals the user's party's status conditions.
Heat Wave,Fire,special,95,90,10,May burn opponent.
Helping Hand,Normal,status,0,0,20,"In Double Battles, boosts the power of the partner's move."
Hidden Power,Normal,special,60,100,15,Type and power depends on user's IVs.
High Jump Kick,Fighting,physical,130,90,10,"If it misses, the user loses half their HP."
Horn Attack,Normal,physical,65,100,25,
Horn Drill,Normal,physical,0,30,5,"One-Hit-KO, if it hits."
Howl,Normal,status,0,0,40,Raises Attack of allies.
Hydro Cannon,Water,special,150,90,5,User must recharge next turn.
Hydro Pump,Water,special,110,80,5,
Hyper Beam,Normal,special,150,90,5,User must recharge next turn.
Hyper Fang,Normal,physical,80,90,15,May cause flinching.
Hyper Voice,Normal,special,90,100,10,
Hypnosis,Psychic,status,0,60,20,Puts opponent to sleep.
Ice Ball,Ice,physical,30,90,20,Doubles in power each turn for 5 turns.
Ice Beam,Ice,special,90,100,10,May freeze opponent.
Ice Punch,Ice,physical,75,100,15,May freeze opponent.
Icicle Spear,Ice,physical,25,100,30,Hits 2-5 times in one turn.
Icy Wind,Ice,special,55,95,15,Lowers opponent's Speed.
Imprison,Psychic,status,0,0,10,Opponent is unable to use moves that the user also knows.
Ingrain,Grass,status,0,0,20,User restores HP each turn. User cannot escape/switch.
Iron Defense,Steel,status,0,0,15,Sharply raises user's Defense.
Iron Tail,Steel,physical,100,75,15,May lower opponent's Defense.
Jump Kick,Fighting,physical,100,95,10,"If it misses, the user loses half their HP."
Karate Chop,Fighting,physical,50,100,25,High critical hit ratio.
Kinesis,Psychic,status,0,80,15,Lowers opponent's Accuracy.
Knock Off,Dark,physical,65,100,20,Removes opponent's held item for the rest of the battle.
Leaf Blade,Grass,physical,90,100,15,High critical hit ratio.
Leech Life,Bug,physical,80,100,10,User recovers half the HP inflicted on opponent.
Leech Seed,Grass,status,0,90,10,Drains HP from opponent each turn.
Leer,Normal,status,0,100,30,Lowers opponent's Defense.
Lick,Ghost,physical,30,100,30,May paralyze opponent.
Light Screen,Psychic,status,0,0,30,Halves damage from Special attacks for 5 turns.
Lock-On,Normal,status,0,0,5,User's next attack is guaranteed to hit.
Lovely Kiss,Normal,status,0,75,10,Puts opponent to sleep.
Low Kick,Fighting,physical,0,100,20,"The heavier the opponent, the stronger the attack."
Luster Purge,Psychic,special,70,100,5,May lower opponent's Special Defense.
Mach Punch,Fighting,physical,40,100,30,User attacks first.
Magic Coat,Psychic,status,0,0,15,Reflects moves that cause status conditions back to the attacker.
Magical Leaf,Grass,special,60,0,20,Ignores Accuracy and Evasiveness.
Magnitude,Ground,physical,0,100,30,Hits with random power.
Mean Look,Normal,status,0,0,5,Opponent cannot flee or switch.
Meditate,Psychic,status,0,0,40,Raises user's Attack.
Mega Drain,Grass,special,40,100,15,User recovers half the HP inflicted on opponent.
Mega Kick,Normal,physical,120,75,5,
Mega Punch,Normal,physical,80,85,20,
Megahorn,Bug,physical,120,85,10,
Memento,Dark,status,0,100,10,"User faints, sharply lowers opponent's Attack and Special Attack."
Metal Claw,Steel,physical,50,95,35,May raise user's Attack.
Metal Sound,Steel,status,0,85,40,Sharply lowers opponent's Special Defense.
Meteor Mash,Steel,physical,90,90,10,May raise user's Attack.
Metronome,Normal,status,0,0,10,User performs almost any move in the game at random.
Milk Drink,Normal,status,0,0,10,User recovers half its max HP.
Mimic,Normal,status,0,0,10,Copies the opponent's last move.
Mind Reader,Normal,status,0,0,5,User's next attack is guaranteed to hit.
Minimize,Normal,status,0,0,10,Sharply raises user's Evasiveness.
Mirror Coat,Psychic,special,0,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Mirror Move,Flying,status,0,0,20,User performs the opponent's last move.
Mist,Ice,status,0,0,30,User's stats cannot be changed for a period of time.
Mist Ball,Psychic,special,70,100,5,May lower opponent's Special Attack.
Moonlight,Fairy,status,0,0,5,User recovers HP. Amount varies with the weather.
Morning Sun,Normal,status,0,0,5,User recovers HP. Amount varies with the weather.
Mud Shot,Ground,special,55,95,15,Lowers opponent's Speed.
Mud Sport,Ground,status,0,0,15,Weakens the power of Electric-type moves.
Mud-Slap,Ground,special,20,100,10,Lowers opponent's Accuracy.
Muddy Water,Water,special,90,85,10,May lower opponent's Accuracy.
Nature Power,Normal,status,0,0,20,Uses a certain move based on the current terrain.
Needle Arm,Grass,physical,60,100,15,May cause flinching.
Night Shade,Ghost,special,0,100,15,Inflicts damage equal to user's level.
Nightmare,Ghost,status,0,100,15,The sleeping opponent loses 25% of its max HP each turn.
Octazooka,Water,special,65,85,10,May lower opponent's Accuracy.
