Name,Type,Category,Power
"10,000,000 Volt Thunderbolt",Electric,special,195
Absorb,Grass,special,20
Accelerock,Rock,physical,40
Acid,Poison,special,40
Acid Armor,Poison,status,0
Acid Downpour,Poison,none,0
Acid Spray,Poison,special,40
Acrobatics,Flying,physical,55
Acupressure,Normal,status,0
Aerial Ace,Flying,physical,60
Aeroblast,Flying,special,100
After You,Normal,status,0
Agility,Psychic,status,0
Air Cutter,Flying,special,60
Air Slash,Flying,special,75
All-Out Pummeling,Fighting,none,0
Ally Switch,Psychic,status,0
Amnesia,Psychic,status,0
Anchor Shot,Steel,physical,80
Ancient Power,Rock,special,60
Apple Acid,Grass,special,80
Aqua Jet,Water,physical,40
Aqua Ring,Water,status,0
Aqua Tail,Water,physical,90
Arm Thrust,Fighting,physical,15
Aromatherapy,Grass,status,0
Aromatic Mist,Fairy,status,0
Assist,Normal,status,0
Assurance,Dark,physical,60
Astonish,Ghost,physical,30
Astral Barrage,Ghost,special,120
Attack Order,Bug,physical,90
Attract,Normal,status,0
Aura Sphere,Fighting,special,80
Aura Wheel,Electric,physical,110
Aurora Beam,Ice,special,65
Aurora Veil,Ice,status,0
Autotomize,Steel,status,0
Avalanche,Ice,physical,60
Baby-Doll Eyes,Fairy,status,0
Baddy Bad,Dark,special,90
Baneful Bunker,Poison,status,0
Barrage,Normal,physical,15
Barrier,Psychic,status,0
Baton Pass,Normal,status,0
Beak Blast,Flying,physical,100
Beat Up,Dark,physical,0
Behemoth Bash,Steel,physical,100
Behemoth Blade,Steel,physical,100
Belch,Poison,special,120
Belly Drum,Normal,status,0
Bestow,Normal,status,0
Bide,Normal,physical,0
Bind,Normal,physical,15
Bite,Dark,physical,60
Black Hole Eclipse,Dark,none,0
Blast Burn,Fire,special,150
Blaze Kick,Fire,physical,85
Blizzard,Ice,special,110
Block,Normal,status,0
Bloom Doom,Grass,none,0
Blue Flare,Fire,special,130
Body Press,Fighting,physical,80
Body Slam,Normal,physical,85
Bolt Beak,Electric,physical,85
Bolt Strike,Electric,physical,130
Bone Club,Ground,physical,65
Bone Rush,Ground,physical,25
Bonemerang,Ground,physical,50
Boomburst,Normal,special,140
Bounce,Flying,physical,85
Bouncy Bubble,Water,special,90
Branch Poke,Grass,physical,40
Brave Bird,Flying,physical,120
Breaking Swipe,Dragon,physical,60
Breakneck Blitz,Normal,none,0
Brick Break,Fighting,physical,75
Brine,Water,special,65
