Name,Type,Category,Power
Absorb,Grass,special,40
Acid,Poison,special,40
Acid Armor,Poison,status,0
Aeroblast,Flying,special,100
Agility,Psychic,status,0
Amnesia,Psychic,status,0
Ancient Power,Rock,special,60
Attract,Normal,status,0
Aurora Beam,Ice,special,65
Barrage,Normal,physical,15
Barrier,Psychic,status,0
Baton Pass,Normal,status,0
Beat Up,Dark,physical,10
Belly Drum,Normal,status,0
Bide,Normal,physical,0
Bind,Normal,physical,15
Bite,Dark,physical,60
Blizzard,Ice,special,120
Body Slam,Normal,physical,85
Bone Club,Ground,physical,65
Bone Rush,Ground,physical,25
Bonemerang,Ground,physical,50
Bubble,Water,special,20
Bubble Beam,Water,special,65
Charm,Fairy,status,0
Clamp,Water,physical,35
Comet Punch,Normal,physical,18
Confuse Ray,Ghost,status,0
Confusion,Psychic,special,50
Constrict,Normal,physical,10
Conversion,Normal,status,0
Conversion 2,Normal,status,0
Cotton Spore,Grass,status,0
Counter,Fighting,physical,0
Crabhammer,Water,physical,90
Cross Chop,Fighting,physical,100
Crunch,Dark,physical,80
Curse,Ghost,status,0
Cut,Normal,physical,50
Defense Curl,Normal,status,0
Destiny Bond,Ghost,status,0
Detect,Fighting,status,0
Dig,Ground,physical,60
Disable,Normal,status,0
Dizzy Punch,Normal,physical,70
Double Kick,Fighting,physical,30
Double Slap,Normal,physical,15
Double Team,Normal,status,0
Double-Edge,Normal,physical,120
Dragon Breath,Dragon,special,60
Dragon Rage,Dragon,special,0
Dream Eater,Psychic,special,100
Drill Peck,Flying,physical,80
Dynamic Punch,Fighting,physical,100
Earthquake,Ground,physical,100
Egg Bomb,Normal,physical,100
Ember,Fire,special,40
Encore,Normal,status,0
Endure,Normal,status,0
Explosion,Normal,physical,250
Extreme Speed,Normal,physical,80
False Swipe,Normal,physical,40
Feint Attack,Dark,physical,60
Fire Blast,Fire,special,120
Fire Punch,Fire,physical,75
Fire Spin,Fire,special,15
Fissure,Ground,physical,0
Flail,Normal,physical,0
Flame Wheel,Fire,physical,60
Flamethrower,Fire,special,95
Flash,Normal,status,0
Fly,Flying,physical,70
Focus Energy,Normal,status,0
Foresight,Normal,status,0
Frustration,Normal,physical,0
Fury Attack,Normal,physical,15
Fury Cutter,Bug,physical,10
Fury Swipes,Normal,physical,18
Future Sight,Psychic,special,80
Giga Drain,Grass,special,60
Glare,Normal,status,0
Growl,Normal,status,0
Growth,Normal,status,0
Guillotine,Normal,physical,0
Gust,Flying,special,40
Harden,Normal,status,0
Haze,Ice,status,0
Headbutt,Normal,physical,70
Heal Bell,Normal,status,0
Hidden Power,Normal,special,0
High Jump Kick,Fighting,physical,85
Horn Attack,Normal,physical,65
Horn Drill,Normal,physical,0
Hydro Pump,Water,special,120
Hyper Beam,Normal,special,150
Hyper Fang,Normal,physical,80
Hypnosis,Psychic,status,0
Ice Beam,Ice,special,95
Ice Punch,Ice,physical,75
Icy Wind,Ice,special,55
Iron Tail,Steel,physical,100
Jump Kick,Fighting,physical,70
Karate Chop,Fighting,physical,50
Kinesis,Psychic,status,0
Leech Life,Bug,physical,20
Leech Seed,Grass,status,0
Leer,Normal,status,0
Lick,Ghost,physical,20
Light Screen,Psychic,status,0
Lock-On,Normal,status,0
Lovely Kiss,Normal,status,0
Low Kick,Fighting,physical,50
Mach Punch,Fighting,physical,40
Magnitude,Ground,physical,0
Mean Look,Normal,status,0
Meditate,Psychic,status,0
Mega Drain,Grass,special,75
Mega Kick,Normal,physical,120
Mega Punch,Normal,physical,80
Megahorn,Bug,physical,120
Metal Claw,Steel,physical,50
Metronome,Normal,status,0
Milk Drink,Normal,status,0
Mimic,Normal,status,0
Mind Reader,Normal,status,0
Minimize,Normal,status,0
Mirror Coat,Psychic,special,0
Mirror Move,Flying,status,0
Mist,Ice,status,0
Moonlight,Fairy,status,0
Morning Sun,Normal,status,0
Mud-Slap,Ground,special,20
Night Shade,Ghost,special,0
Nightmare,Ghost,status,0
Octazooka,Water,special,65
Outrage,Dragon,physical,90
Pain Split,Normal,status,0
Pay Day,Normal,physical,40
Peck,Flying,physical,35
Perish Song,Normal,status,0
Petal Dance,Grass,special,70
Pin Missile,Bug,physical,14
Poison Gas,Poison,status,0
Poison Powder,Poison,status,0
Poison Sting,Poison,physical,15
Pound,Normal,physical,40
Powder Snow,Ice,special,40
Present,Normal,physical,0
Protect,Normal,status,0
Psybeam,Psychic,special,65
Psych Up,Normal,status,0
Psychic,Psychic,special,90
Psywave,Psychic,special,0
Pursuit,Dark,physical,40
Quick Attack,Normal,physical,40
Rage,Normal,physical,20
Rain Dance,Water,status,0
Rapid Spin,Normal,physical,20
Razor Leaf,Grass,physical,55
Razor Wind,Normal,special,80
Recover,Normal,status,0
Reflect,Psychic,status,0
Rest,Psychic,status,0
Return,Normal,physical,0
Reversal,Fighting,physical,0
Roar,Normal,status,0
Rock Slide,Rock,physical,75
Rock Smash,Fighting,physical,20
Rock Throw,Rock,physical,50
Rolling Kick,Fighting,physical,60
Rollout,Rock,physical,30
Sacred Fire,Fire,physical,100
Safeguard,Normal,status,0
Sand Attack,Ground,status,0
Sandstorm,Rock,status,0
Scary Face,Normal,status,0
Scratch,Normal,physical,40
Screech,Normal,status,0
Seismic Toss,Fighting,physical,0
Self-Destruct,Normal,physical,200
Shadow Ball,Ghost,special,80
Sharpen,Normal,status,0
